"type"	"name"
"B.immature..pro-b"	"Pro B cell"
"B.immature..pre-b"	"Pre B cell"
"B.immature..pro.b"	"Pro B cell"
"B.immature..pre.b"	"Pre B cell"
"B.mature..naive"	"Naive B cell"
"B.mature..germinal...dz"	"Dark Zone GC B cell"
"B.mature..germinal...lz"	"Light Zone GC B cell"
"B.mature..memory"	"Memory B cell"
"B.mature..plasma"	"Plasma B cell"
"T.CD8"	"CD8 T cell"
"T.CD4..naive"	"Naive CD4 T cell"
"T.CD4..memory...resting"	"Resting Memory CD4 T cell"
"T.CD4..memory...activated"	"Activated Memory CD4 T cell"
"T.follicular_helper"	"Follicular Helper T cell"
"T.other..regulatory"	"Regulatory T cell"
"T.other..gamma_delta"	"Gamma Delta T cell"
"T.NK..resting"	"Resting NK T cell"
"T.NK..activated"	"Activated NK T cell"
"Myeloid.macrophages..M0"	"M0 Macrophage"
"Myeloid.macrophages..M1"	"M1 Macrophage"
"Myeloid.macrophages..M2"	"M2 Macrophage"
"Myeloid.dendritic..resting"	"Resting Dendritic cell"
"Myeloid.dendritic..activated"	"Activated Dendritic cell"
"Myeloid.other..mast...resting"	"Resting Mast cell"
"Myeloid.other..mast...activated"	"Activated Mast cell"
"Myeloid.other..eosinophils"	"Eosinophil"
"Myeloid.other..neutrophils"	"Neutrophil"
"Myeloid.other..monocytes"	"Monocyte"
"Myeloid.langerhans"	"Langerhans cell"
"B"	"B"
"T"	"T"
"Myeloid"	"Myeloid"
"T.NK"	"NK T cell"
"Myeloid.other..mast"	"Mast cell"
"T.CD4..memory"	"Memory CD4 T cell"
"Myeloid.dendritic"	"Dendritic cell"
"Myeloid.plasmacytoid"	"Plasmacytoid Dendritic cell"
"T.plasmacytoid"	"Plasmacytoid Dendritic cell"
