Gene	T.CD8	T.follicular_helper	T.CD4	T.NK	T.other	T.plasmacytoid
ABCB4	4.311280198	6.469992914	6.165534345	9.119775611	8.5726881855	7.0539276829999995
ABCB9	24.22372293	17.60479495	34.96165741	19.12993277	32.894689225	28.0958777
ACAP1	1055.613378	1107.7982650000001	1210.8076278	450.1093256	1137.7791601000001	100.0
ACHE	13.42828841	14.80554182	21.565414985	202.1177403	29.15558017	47.39908012
ACP5	306.3125193	711.9497438999999	573.9199878	290.0486024	726.44256905	100.0
ADAM28	22.6897181	24.28140623	29.1415892	144.0076051	49.56854362	49.77128501
ADAMDEC1	44.61628687	68.73789331	59.978872790000004	58.33841588	194.2674547	97.16932158
ADAMTS3	42.39041586	35.41107579	67.320630205	41.12747138	70.774302835	56.44554702
ADRB2	899.6485015000001	97.17422647	223.08759253	2159.005275	1297.7574496	100.0
AIF1	742.8158187000001	19.07768435	377.97764541	64.45248921	558.1633470549999	100.0
AIM2	294.4846139	1115.6816119999999	919.109891865	110.8616443	361.6193899	100.0
ALAS2	5.0	5.0	5.0	5.0	2502.5	100.0
ALOX15	9.774971658	13.15225266	13.5905816965	19.97658598	18.417092085	15.27416541
ALOX5	78.68443963	35.00087493	85.239822215	139.51714980000003	292.2845281	100.0
AMPD1	66.1074899	53.95513652	72.77591594500001	59.90864326	96.65687502	74.11955023
ANGPT4	44.68465936	101.44558599999999	47.04735663	17.77869938	29.36183109	45.24676003
ANKRD55	141.69811140000002	1077.33032	1055.7166295499999	85.92242519999999	150.0622459	100.0
APOBEC3A	64.35533705	71.37789026	81.24763913000001	192.7630885	379.76691446500007	100.0
APOBEC3G	2090.85254	386.05358739999997	1138.6847218500002	7605.036476	2989.8601878	100.0
APOL3	1209.122376	351.1290483	1159.0249199	1087.765375	1083.3664853	100.0
APOL6	8.448971352000001	7.177587337	22.470281915	191.62595	11.542915886	39.32555776
AQP9	13.67548268	18.66670647	14.09857389	53.02350731	126.56840438	52.38566471
ARHGAP22	45.01409912	25.40966715	45.451250885	54.91308779	22.531187155	37.32881859
ARPP21	5.0	5.0	5.0	5.0	5.0	5000.0
ARRB1	19.09130442	18.44492663	21.41594123	98.19302359	11.505423459	28.79599772
ASGR1	12.18880923	5.122171371	10.780562255	13.03583005	162.175044865	53.75114641
ASGR2	29.78023761	31.38273532	37.507281085	29.7142972	140.16718645	63.74660074
ATHL1	806.0999282	1765.5523859999998	2923.5040392499996	423.8159033	233.74877145	100.0
ATP8B4	69.79360213	29.05340287	62.03524884	824.3103194	82.55130765	100.0
ATXN8OS	12.10850879	12.42360351	12.217468709999999	9.872627143999999	20.834045824999997	14.35825264
AZU1	75.49418368	12.10187282	21.359638182	265.2579227	505.905655935	100.0
BACH2	716.5762166000001	245.0583665	934.74210355	494.60945860000004	520.9178011	100.0
BANK1	27.08870144	18.99250539	29.89290458	35.09984139	44.612344695000004	32.88450668
BARX2	14.68073716	19.74347261	14.14979404	22.5631938	267.33950225	88.56657088
BCL11B	4183.738789	3186.5370190000003	5039.9031455	665.243575	2664.9036415	100.0
BCL2A1	575.0352025000001	698.6513947999999	717.0482957	533.2683795	301.51874810000004	100.0
BCL6	5.0	1000.0	5.0	5.0	5.0	100.0
BCL7A	119.2680253	70.53816317	91.786521215	45.8653417	118.188225605	93.66014626
BEND5	159.6750731	54.2462042	138.896826715	55.93154482	42.099926155	90.26376112
BEND6	5.0	5.0	5.0	5.0	5.0	5.0
BFSP1	19.66358081	59.32684348	70.441403335	27.03309669	62.96051355	53.26105068
BHLHE41	45.270419200000006	22.22269743	32.058632845000005	51.56015133	101.57399509999999	55.18836055
BIRC3	370.9307246	402.5623243	1341.52327805	728.8260112	1344.1476993	100.0
BLK	136.39364809999998	89.85602787	41.396371	11.15711153	15.147439937	50.07062991
BMP2K	117.76525	224.31252489999997	101.840742965	112.121477	98.06937790499998	100.0
BPI	64.13890515	15.19584325	25.3723070735	501.6314666999999	15.10851775	94.56112354
BRAF	178.6931052	102.12602559999999	133.9892915	277.9496822	517.1756722	100.0
BRSK2	10.46220047	54.73054355	18.135604160499998	17.74521279	38.190174905	27.94135928
BST1	68.85559845	62.2914124	99.565984515	118.77361100000002	183.38209687000003	100.0
BTNL8	13.49547351	16.64319163	21.25700922	12.63274915	39.61638829	23.50260133
C11orf80	162.5847884	136.96186799999998	120.11876785	120.7496946	120.690707335	100.0
C1orf54	244.0295762	87.19841264	245.80725625	117.88410290000002	88.49977221500001	100.0
C3AR1	218.06702400000003	110.3968405	127.14356105	613.4447329	594.5173222	100.0
C5AR1	71.29814039	27.36083709	31.681442205000003	253.0671186	232.35851996	100.0
C5AR2	5.512627066	8.182355675	30.974411704999998	32.16453055	33.91624782	25.09154748
CA1	5.0	5.0	5.0	5.0	2502.5	1000.0
CA8	13.31718235	200.62369919999998	17.70693252	14.31273322	52.9301165	52.78967326
CAMP	76.14506063	121.33996640000001	107.87580395	892.8004925	36.63947833	100.0
CASP5	20.72194816	44.6725684	9.940294618500001	46.15660294	65.81827161	37.58117885
CCDC102B	17.720017600000002	6.133755741	8.393557910999998	12.28678352	11.455735968	10.83416352
CCL1	10.784540400000001	12.61652384	17.701912585	20.569456600000002	10.177134724	14.24694507
CCL13	120.948249	12.70708557	66.94206421	95.84347088	73.92448213	73.03312829999999
CCL14	71.06446098	33.08789345	57.950108415	70.26973669	152.5150708	85.05034994
CCL17	78.50428281	38.03375116	59.90257746	56.89176767	226.84904034000002	100.0
CCL18	35.31761702	1000.0	35.68265544	59.32581576	65.031462485	100.0
CCL19	77.62297831	48.98562369	56.112597665	128.1916248	28.08594013	60.45675748
CCL20	61.54110043	188.6755023	404.42605962	19.37667746	15.249798935000001	100.0
CCL22	24.03529684	24.33306321	33.727009734999996	51.94116629999999	291.60336078	100.0
CCL23	15.31837372	13.44126834	18.25619785	54.24892146	46.825464845	30.45312699
CCL4	2564.294556	356.4726389	3043.90867255	5000.0	2740.6395582	100.0
CCL5	11434.94887	69.75841522	1343.2421359	5000.0	2585.5004582	100.0
CCL7	54.29720304	53.34937988	39.48779808	27.43416944	64.985899485	49.14687821
CCL8	35.05420149	40.64411705	52.515813885	1000.0	91.88518913499999	100.0
CCND1	5.0	5.0	5.0	5.0	5.0	5.0
CCND2	682.2085787000001	460.6314841	1064.7804585	3541.076899	724.8767604	100.0
CCR10	130.744128	100.7324553	119.781905215	65.93916024	52.60274029	91.74071922
CCR2	312.62034439999996	95.47693449	295.89746425	94.56222532	705.02549975	100.0
CCR3	51.21539926	20.4848163	41.68203647	104.639623	149.23216761	79.73832096
CCR5	992.0442582999999	530.4856724	259.08937565	1002.128304	1473.5980986	100.0
CCR6	173.08961619999997	151.09075819999998	195.024120055	84.69039581	182.4218341	100.0
CCR7	5074.201816	1858.531026	5788.967908	577.4547454	3415.3774731500002	100.0
CD14	5.0	5.0	5.0	5.0	5.0	5.0
CD160	1145.34982	73.65633284	128.6096367	1594.014919	1766.1640247	100.0
CD163	5.0	5.0	5.0	5.0	5.0	5.0
CD177	5.0	5.0	5.0	5.0	5.0	5.0
CD180	78.77964471	48.86157308	41.843407875	33.99947109	155.30990075	79.42104373
CD19	132.2416591	148.8556127	101.36187408500001	94.44398247	182.67022715	100.0
CD1A	208.3949257	156.48164540000002	150.46661154999998	149.23032790000002	388.5620933	100.0
CD1B	55.67758898	21.53089091	70.657584135	131.2405225	152.67882945999997	93.58883279999999
CD1C	44.14189025	40.92391452	98.139901025	33.5006097	33.866385575	54.6541411
